goos: darwin
goarch: arm64
pkg: uk.ac.bris.cs/gameoflife
cpu: Apple M3 Pro
,result/results_100.out
,sec/op,CI
Gol/512x512x100-1-11,0.6543647915,1%
Gol/512x512x100-2-11,0.6561887915,0%
Gol/512x512x100-3-11,0.6577018125,0%
Gol/512x512x100-4-11,0.6568557500000001,0%
Gol/512x512x100-5-11,0.6581595210000001,0%
Gol/512x512x100-6-11,0.658588104,1%
Gol/512x512x100-7-11,0.6630162505,1%
Gol/512x512x100-8-11,0.6682828125,1%
Gol/512x512x100-9-11,0.6673481880000001,0%
Gol/512x512x100-10-11,0.661305375,1%
Gol/512x512x100-11-11,0.6606215420000001,0%
Gol/512x512x100-12-11,0.6600388965,0%
Gol/512x512x100-13-11,0.660866625,0%
Gol/512x512x100-14-11,0.660578771,1%
Gol/512x512x100-15-11,0.6628118745,0%
Gol/512x512x100-16-11,0.6624354585000001,1%
geomean,0.6605628546023571
